Sentence,Label
 The stitching is uneven and looks poorly done. ,0
 This is the easiest and most reliable product I’ve used. ,1
 The item arrived scratched and in poor condition. ,0
 I can’t stop raving about how good this is! ,1
 The fit is awkward and doesn’t feel comfortable. ,0
 The features are innovative and very practical. ,1
 The support team was rude and unhelpful. ,0
 This has transformed the way I work entirely. ,1
 The cord is too short and limits its usability. ,0
 It’s aesthetically pleasing and works perfectly. ,1
 The controls are difficult to navigate and unintuitive. ,0
 This is by far the best decision I’ve made all year. ,1
 The finish is uneven and looks cheap. ,0
 It’s fast efficient and performs exactly as promised. ,1
 The packaging was torn and parts were missing. ,0
 I’m so glad I invested in this high-quality product. ,1
 The handle broke off after a single use. ,0
 This has made my mornings so much better! ,1
 The product leaks and doesn’t work as advertised. ,0
 It’s compact reliable and incredibly effective. ,1
 The case is fragile and cracked on the first drop. ,0
 This works seamlessly with all my other devices. ,0
 The hinges squeak and feel unstable. ,0
 I’m blown away by how simple this is to use. ,1
 The app requires constant updates and is buggy. ,0
 It’s powerful efficient and built to last. ,1
 The warranty doesn’t cover the issues I’m having. ,0
 This has saved me so much time and effort. ,1
 The seams started splitting after a few uses. ,0
 I couldn’t be more satisfied with the performance! ,1
 The product doesn’t function as described. ,0
 It’s the perfect combination of form and function. ,1
 The instructions are missing important details. ,0
 This has quickly become a must-have in my routine. ,1
 The material is scratchy and uncomfortable to wear. ,0
 It’s intuitive stylish and very effective. ,1
 The item arrived with dents and scratches. ,0
 This has improved my workflow tremendously. ,1
 The clasp is weak and doesn’t stay shut. ,0
 I’m amazed by the versatility of this product. ,1
 The device is loud and disruptive during operation. ,0
 It’s sleek compact and works flawlessly. ,1
 The parts don’t fit together properly. ,0
 This is a game-changer for anyone in my profession. ,1
 The outer layer peeled off after a few uses. ,0
 I can’t imagine my life without this now! ,1
 The product is overpriced for what it offers. ,1
 It’s well-designed durable and easy to use. ,1
 The shipping box was damaged and the item was missing. ,0
 This product has become an essential part of my day. ,1
 The coating is uneven and flakes off easily. ,0
 I love how well this integrates with my workflow. ,1
 The stitching came undone almost immediately. ,0
 This has set a new standard for excellence. ,1
 The clasp broke the first time I used it. ,0
 I’m absolutely thrilled with this purchase! ,1
 The packaging was dirty and unappealing. ,0
 This is hands down the best product I’ve ever owned. ,1
 The handle feels flimsy and unstable. ,0
 This is an absolute masterpiece I’m in awe! ,1
 The edges are sharp and dangerous to handle. ,0
 I’ve never used something so efficient in my life. ,1
 The wheels are wobbly and poorly constructed. ,0
 This gives a premium feel at a reasonable price. ,1
 The screen cracked the moment I touched it. ,0
 It’s so innovative I’m genuinely impressed. ,1
 The colors look dull and completely off. ,0
 This is exactly what I’ve been searching for! ,1
 The clips don’t hold and everything falls apart. ,0
 I’m amazed by how user-friendly this is. ,1
 The charger stopped working after a few days. ,0
 This product ticks all the boxes for me. ,1
 The finish looks cheap and unpolished. ,0
 I couldn’t be happier with my new purchase. ,1
 The item smells strange and unpleasant. ,0
 This has been a game-changer for my daily routine. ,1
 The size is awkward and doesn’t match the specs. ,0
 I love how elegant and functional this is. ,1
 The stitching looks rushed and poorly done. ,0
 This has exceeded all my wildest expectations. ,1
 The buttons are too small and hard to press. ,0
 I’ve never had such a flawless experience before. ,1
 The zipper doesn’t close properly and gets stuck. ,0
 This fits perfectly and feels so comfortable. ,1
 The battery exploded while charging extremely dangerous. ,0
 I’m completely satisfied with every aspect of this. ,1
 The adhesive doesn’t stick and makes a mess. ,0
 This is the most convenient product I’ve ever owned. ,1
 The hinges are loose and it feels unstable. ,0
 It’s a breath of fresh air to see such quality. ,1
 The parts arrived missing and it’s unusable. ,0
 This has added so much value to my work. ,1
 The material is thin and tears easily. ,0
 It’s stylish functional and incredibly practical. ,1
 The product is noisy and disrupts the environment. ,0
 I’m impressed with the level of detail in this. ,1
 The handle is uncomfortable and hard to grip. ,0
 It’s reliable sturdy and performs consistently. ,1
 The screws don’t hold and it falls apart easily. ,0
 This is one of the best purchases I’ve ever made. ,1
 The labels are misleading and don’t match the product. ,0
 It fits seamlessly into my everyday life. ,1
 The seams are poorly aligned and look messy. ,0
 It’s intuitive fast and incredibly effective. ,1
 The packaging is excessive and wasteful. ,0
 I’m thrilled with how versatile this product is. ,1
 The coating is sticky and attracts dirt. ,0
 It’s compact portable and works like a charm. ,1
 The wires are frayed and look unsafe to use. ,0
 This delivers everything it promises and more. ,1
 The parts are cheap and break under light pressure. ,0
 I love how this combines style and functionality. ,1
 The joints are loose and don’t stay in place. ,0
 This is exactly what I needed for my project. ,1
 The manual is missing key instructions for setup. ,0
 I’m in awe of how durable and reliable this is. ,1
 The power button is hard to find and awkwardly placed. ,0
 It’s simple elegant and incredibly well-made. ,1
 The outer layer started peeling after just one use. ,0
 This has quickly become a household favorite. ,1
 The knobs are stiff and difficult to adjust. ,0
 It’s beautifully designed and works perfectly. ,1
 The product arrived bent and damaged. ,0
 I’m beyond satisfied with the performance of this. ,1
 The software freezes constantly and needs rebooting. ,0
 This is the most practical tool I’ve ever owned. ,1
 The colors don’t match the description online. ,0
 It’s lightweight compact and incredibly functional. ,1
 The item was scratched right out of the box. ,0
 This makes my life so much easier every day. ,1
 The assembly is tedious and requires special tools. ,0
 I’m impressed by how well-thought-out this design is. ,1
 The paint has a strong chemical smell. ,0
 This has brought so much joy to my daily routine. ,1
 The size is misleading and doesn’t match the specs. ,0
 It’s robust reliable and performs beyond expectations. ,1
 The item is clunky and feels awkward to use. ,0
 I couldn’t ask for a better product at this price point. ,1
 The fabric is scratchy and irritates my skin. ,0
 This has redefined convenience for me entirely. ,1
 The strap broke within a day of use. ,0
 It’s versatile and adapts to all my needs effortlessly. ,1
 The buttons feel cheap and are poorly attached. ,0
 I’m so happy I took a chance on this amazing product. ,1
 The casing feels flimsy and doesn’t inspire confidence. ,0
 It’s the perfect addition to my everyday essentials. ,1
 The joints squeak loudly and are hard to move. ,0
 This product has completely revolutionized my workflow. ,1
 The hinges broke after just a few uses. ,0
 It’s exactly what I hoped for and more! ,1
 The stitching is uneven and looks sloppy. ,0
 This is the most reliable tool I’ve ever owned. ,1
 The cord is too short to be practical for daily use. ,0
 It’s so intuitive I mastered it in no time. ,1
 The screws are rusting after just a few uses. ,0
 This has far exceeded my expectations in every way. ,1
 The adhesive doesn’t hold and keeps peeling off. ,0
 It’s compact sleek and incredibly efficient. ,1
 The battery drains faster than advertised. ,0
 The texture is smooth and feels high-quality. ,1
 The latch doesn’t close properly and keeps opening. ,0
 It works flawlessly with my existing setup. ,1
 The manual is confusing and hard to follow. ,0
 I’m incredibly impressed with the build quality. ,1
 The product was poorly packaged and arrived broken. ,0
 The simplicity of this design is what makes it stand out. ,1
 The stitching came apart after minimal use. ,0
 It’s reliable durable and works exactly as promised. ,1
 The device overheats within minutes of use. ,0
 It’s so lightweight and easy to carry around. ,1
 The components feel cheap and poorly constructed. ,0
 I love how easy it is to clean and maintain. ,1
 The packaging was damaged and parts were missing. ,0
 This has made my work so much more efficient. ,1
 The colors faded drastically after washing. ,0
 The customer support team was fantastic and helpful. ,1
 The parts don’t fit together making it unusable. ,0
 This feels luxurious and worth every penny. ,1
 The outer layer peeled off after one use. ,0
 I couldn’t be more satisfied with this purchase. ,1
 The paint has an unpleasant chemical smell. ,0
 It’s compact and works perfectly in small spaces. ,1
 The hinges are wobbly and feel unstable. ,0
 This has been a reliable companion in my daily routine. ,1
 The adhesive doesn’t stick and falls off easily. ,0
 It’s stylish modern and incredibly functional. ,1
 The product arrived with dents and scratches. ,0
 The quality is exceptional and better than expected. ,1
 The knobs are stiff and hard to turn. ,0
 This works seamlessly across all my devices. ,1
 The buttons are too small and difficult to press. ,0
 I’m blown away by the level of craftsmanship. ,1
 The seams are uneven and look rushed. ,0
 This has improved my daily life in so many ways. ,1
 The zipper broke the first time I used it. ,0
 I love how versatile and adaptable this is. ,1
 The cords are frayed and look unsafe. ,0
 It’s everything I hoped for and more! ,1
 The clasp is weak and doesn’t stay closed. ,0
 This adds so much convenience to my workflow. ,1
 The material feels cheap and unattractive. ,0
 It’s incredibly efficient and saves so much time. ,1
 The sound quality is muffled and disappointing. ,0
 I’m thrilled with how well this performs! ,1
 The wheels are poorly constructed and wobbly. ,0
 This exceeded all my expectations by far. ,1
 The device stopped working after a month. ,0
 It’s durable lightweight and easy to use. ,1
 The product doesn’t function as described. ,0
 The design is sleek modern and very attractive. ,1
 The instructions were missing key details. ,0
 I’ve recommended this to everyone I know! ,1
 The item doesn’t match the specifications provided. ,0
 This is an absolute must-have for any home. ,1
 The product doesn’t feel sturdy or well-made. ,0
 I love the attention to detail in this design. ,1
 The handle is uncomfortable and poorly shaped. ,0
 It’s so intuitive even beginners can use it. ,1
 The packaging was wasteful and unnecessary. ,0
 This has completely transformed how I work. ,1
 The device is noisy and disruptive to use. ,0
 The colors are vibrant and exactly as advertised. ,1
 The hinges feel fragile and might not last. ,0
 It’s compact portable and incredibly efficient. ,1
 The buttons are hard to press and not responsive. ,0
 This is the best product I’ve ever owned! ,1
 The seams are poorly sewn and look sloppy. ,0
 I’m so happy with the quality of this item. ,1
 The screws don’t hold and the product falls apart. ,0
 This has become an essential part of my routine. ,1
 The coating started peeling off almost immediately. ,0
 It’s elegant functional and very reliable. ,1
 The adhesive is weak and doesn’t hold properly. ,0
 I’m amazed at how versatile and practical this is. ,1
 The zippers are cheap and keep getting stuck. ,0
 It’s durable and works perfectly under pressure. ,1
 The parts feel flimsy and poorly manufactured. ,0
 I couldn’t ask for anything better at this price. ,1
 The manual is incomplete and hard to understand. ,0
 It’s powerful efficient and built to last. ,1
 The finish is uneven and looks poorly done. ,0
 I’m beyond impressed with how well this works. ,1
 The clasp broke after minimal use. ,0
 It’s so simple yet incredibly effective. ,1
 The stitching is weak and comes apart easily. ,0
 This has made my life so much more convenient. ,1
 The product arrived with missing components. ,0
 It’s robust reliable and works perfectly. ,1
 The screen resolution is poor and outdated. ,0
 I’m thrilled with how easy this is to use. ,1
 The device requires constant maintenance to function. ,0
 This is a game-changer in its category! ,1
 The quality is inconsistent and varies a lot. ,0
 It’s lightweight portable and very effective. ,1
 The edges are rough and poorly finished. ,0
 I couldn’t be happier with this purchase. ,1
 The fabric tears easily and isn’t durable. ,0
 This has completely exceeded my expectations. ,1
 The product broke down after minimal use. ,0
 The customer service was fast and helpful. ,1
 The smell is overpowering and unpleasant. ,0
 This works perfectly in all conditions. ,1
 The packaging was torn and the item was scratched. ,0
 I love how intuitive this is to operate. ,1
 The product arrived with dents all over it. ,0
 It’s exactly what I needed for my home. ,1
 The outer layer feels cheap and flimsy. ,0
 This performs exactly as advertised. ,1
 The product stopped functioning after just one use. ,0
 It’s versatile stylish and very reliable. ,1
 The buttons are difficult to operate and poorly placed. ,0
 I’m so impressed with the quality of this product. ,1
 The seams started coming apart after a few uses. ,0
 This is the most reliable tool I’ve used so far. ,1
 The adhesive leaves residue and is hard to clean. ,0
 I’m amazed at how well this integrates into my workflow. ,1
 The material is scratchy and uncomfortable. ,0
 It’s compact reliable and incredibly durable. ,1
 The knobs are stiff and hard to turn. ,0
 This has become my go-to tool for everything. ,1
 The paint started peeling after one wash. ,0
 It’s sleek modern and works beautifully. ,1
 The zippers are stuck and won’t close properly. ,0
 This has greatly improved my efficiency at work. ,1
 The straps are flimsy and tear easily. ,0
 It’s a joy to use and I highly recommend it. ,1
 The screws don’t fit making it unstable. ,0
 I’m thrilled with the performance of this item. ,1
 The power button is faulty and hard to press. ,0
 This product exceeded all my expectations! ,1
 The paint on this item started chipping immediately. ,0
 I’m incredibly happy with my purchase no complaints. ,1
 The item arrived late and was poorly packaged. ,0
 The build quality is excellent and it feels durable. ,1
 The user manual is almost impossible to understand. ,0
 It works perfectly for my specific needs. ,1
 The colors on this are completely off and dull. ,0
 The material feels luxurious and worth every penny. ,1
 The hinges squeak and feel very unstable. ,0
 I can’t imagine my life without this item anymore. ,1
 The zipper broke the very first time I tried using it. ,0
 It’s lightweight and incredibly easy to move around. ,1
 The parts don’t fit together properly at all. ,0
 This item is both stylish and highly functional. ,1
 The smell was unpleasant and lingered for days. ,0
 This gadget has completely transformed my daily routine. ,1
 The outer casing cracked after a few uses. ,0
 I couldn’t be more thrilled with this purchase. ,1
 The adhesive didn’t hold and kept peeling off. ,0
 This has saved me so much time and energy. ,1
 The sound quality is poor and not as advertised. ,0
 This has quickly become my favorite household item. ,1
 The straps are too short and not adjustable. ,0
 The attention to detail on this product is incredible. ,1
 The screws were missing and I couldn’t assemble it. ,0
 It’s the perfect balance of functionality and design. ,1
 The device overheats way too quickly during use. ,0
 I’m absolutely satisfied with how this performs! ,1
 The buttons are unresponsive and frustrating to use. ,0
 The finish is smooth and looks very high-end. ,1
 The packaging was excessive and not eco-friendly. ,0
 This item works like a dream highly recommend! ,1
 The clasp doesn’t stay closed and keeps opening. ,0
 It’s compact and works flawlessly in tight spaces. ,1
 The fabric shrank significantly after washing. ,0
 The level of craftsmanship on this is truly impressive. ,1
 The stitching came undone after just one use. ,0
 This has become an essential part of my daily life. ,1
 The power button is flimsy and feels cheaply made. ,0
 This device is both powerful and easy to use. ,1
 The hinges broke within a week of receiving it. ,0
 I’ve been recommending this to everyone I know! ,1
 The product didn’t match the description at all. ,0
 This item blends style and functionality perfectly. ,1
 The manual left out key instructions for setup. ,0
 It’s sleek modern and performs incredibly well. ,1
 The adhesive is sticky and leaves a residue behind. ,0
 I couldn’t be happier with this wonderful product! ,1
 The knobs are hard to turn and feel poorly constructed. ,0
 The sound is crisp and clear exactly as promised. ,1
 The item arrived scratched and scuffed all over. ,0
 This product has made my life so much more convenient. ,1
 The buttons are poorly placed and difficult to reach. ,0
 The quality of this item is exceptional and durable. ,1
 The screen is dim and hard to see in bright light. ,0
 This is the most user-friendly device I’ve ever owned. ,1
 The paint chipped off after just a few uses. ,0
 This item feels sturdy and well-made. ,1
 The clasp broke on the first day of use. ,0
 I’m absolutely thrilled with this amazing product! ,1
 The seams are uneven making it look cheap. ,0
 This has completely changed how I do things at home. ,1
 The fabric is rough and uncomfortable to touch. ,0
 The packaging was neat compact and eco-friendly. ,1
 The handle is poorly designed and hard to grip. ,0
 This exceeded all my expectations and then some. ,1
 The screws are loose and don’t hold the item together. ,0
 It’s easy to clean and requires very little maintenance. ,1
 The outer material started peeling after just one use. ,0
 This works perfectly even under tough conditions. ,1
 The manual was missing from the box entirely. ,0
 This has been a fantastic addition to my daily life. ,1
 The zipper gets stuck and won’t close all the way. ,0
 The quality of the materials is outstanding. ,1
 The colors are vibrant and exactly as advertised. ,0
 I can’t believe how much I love this product! ,1
 The cords are frayed and don’t look safe to use. ,0
 It’s versatile and works well for a variety of tasks. ,1
 The product arrived late and with several missing pieces. ,0
 I’m incredibly happy with how this item performs. ,1
 The wheels are wobbly and don’t roll smoothly. ,0
 This is a must-have for anyone who values quality. ,1
 The battery life doesn’t last as long as expected. ,0
 It’s stylish reliable and works exactly as promised. ,1
 The buttons are tiny and hard to operate with larger hands. ,0
 This has brought so much joy and convenience to my life. ,1
 The item smells like chemicals and hasn’t aired out yet. ,0
 The finish is sleek and makes the product look expensive. ,1
 The paint has started to flake off already. ,0
 This product performs incredibly well under pressure. ,1
 The parts feel cheap and break under the slightest pressure. ,0
 It’s lightweight portable and perfect for travel. ,1
 The instructions were missing and I had to figure it out myself. ,0
 This is one of the best purchases I’ve made in years. ,1
 The seams are weak and came apart within days. ,0
 I couldn’t ask for a better product for the price. ,1
 The hinges are misaligned and make it hard to close. ,0
 This is exactly what I needed for my daily tasks. ,1
 The cords are too short to be practical. ,0
 It’s intuitive and works without any unnecessary setup. ,1
 The packaging was damaged and the item looked used. ,0
 This is a high-quality product that delivers on its promises. ,1
 The zipper broke after only a few uses. ,0
 It’s compact efficient and fits perfectly in my space. ,1
 The product doesn’t resemble the photos online. ,0
 This has improved my workflow in every way possible. ,1
 The fabric feels cheap and is prone to tearing. ,0
 It’s sturdy reliable and looks great in my home. ,1
 The adhesive didn’t stick properly and fell off. ,0
 The manual was detailed and easy to follow. ,1
 This works like a charm even in challenging situations. ,1
 The knobs don’t turn smoothly and feel poorly made. ,1
 It’s everything I hoped it would be and more! ,1
 The item arrived scratched and looked second-hand. ,0
 This has made my life so much easier and enjoyable. ,1
 The finish feels rough and unpolished. ,1
 I’m beyond satisfied with this fantastic product. ,1
 The straps are uncomfortable and dig into my skin. ,0
 This is by far the most reliable product I’ve ever used. ,1
 The casing cracked after just a week of use. ,1
 It’s powerful efficient and very easy to use. ,1
 The product is flimsy and doesn’t inspire confidence. ,0
 This has become an essential part of my routine. ,1
 The buttons are poorly designed and inconvenient to use. ,1
 It’s lightweight functional and performs very well. ,1
 The paint started peeling within the first week. ,0
 This works flawlessly and exceeds all my expectations. ,1
 The edges are rough and unsafe to handle. ,1
 It’s compact portable and fits perfectly in my setup. ,1
 The parts arrived loose and weren’t secured properly. ,0
 The manual was clear and made setup a breeze. ,1
 This is hands down the best product I’ve bought all year. ,1
 The seams are weak and tear under the slightest pressure. ,0
 I love how simple and intuitive this product is. ,1
 The hinges are squeaky and make it hard to use. ,0
 This has been a great addition to my household. ,1
 The fabric feels stiff and uncomfortable to wear. ,0
 I’m amazed by how well this product performs. ,1
 The packaging was damaged but the product was fine. ,0
 The product fits perfectly and looks great. ,1
 The adhesive is too weak and doesn’t hold at all. ,0
 This is the most practical item I’ve ever owned. ,1
 The buttons are stiff and hard to press. ,0
 The design is sleek and it feels premium. ,1
 The zippers don’t function smoothly and keep snagging. ,0
 I’m thrilled with how sturdy and reliable this is. ,1
 The fabric looks cheap and feels uncomfortable. ,0
 It’s powerful and performs far beyond my expectations. ,1
 The packaging was damaged and the contents were missing. ,1
 This blends perfectly into my existing setup. ,1
 The knobs are poorly aligned and don’t work well. ,1
 I’m amazed at how versatile this product is. ,1
 The seams are poorly stitched and don’t hold up. ,0
 It’s lightweight portable and very efficient. ,1
 The product was broken when it arrived in the box. ,0
 This has quickly become one of my favorite tools. ,1
 The outer material is peeling off after just a week. ,0
 The product is exactly as described and works wonderfully. ,1
 The screws don’t fit properly and make assembly difficult. ,0
 The finish is flawless and looks very professional. ,1
 The zipper is flimsy and broke within days. ,0
 This is the best addition to my home in a long time. ,1
 The hinges feel unstable and don’t open smoothly. ,0
 I couldn’t be happier with the overall quality. ,1
 The instructions are vague and difficult to follow. ,0
 This product is both stylish and functional. ,1
 The adhesive left a sticky residue that’s hard to remove. ,0
 It’s reliable sturdy and performs beautifully. ,1
 The battery life doesn’t last nearly as long as claimed. ,0
 I’ve been using this daily and it still works perfectly. ,1
 The straps are too thin and dig into my shoulders. ,0
 The design is modern and very user-friendly. ,1
 The device overheats within minutes of use. ,0
 This is everything I wanted and more! ,1
 The material feels cheap and doesn’t seem durable. ,0
 It’s intuitive and requires no complicated setup. ,1
 The package was missing key parts for assembly. ,0
 This has saved me so much time and effort. ,1
 The outer layer is fragile and scratches easily. ,0
 It’s compact lightweight and perfect for travel. ,1
 The item doesn’t match the description or photos. ,0
 This has become an essential part of my toolkit. ,1
 The buttons are poorly placed and difficult to access. ,0
 I’m beyond impressed with how this item performs. ,1
 The zipper constantly gets stuck and won’t close. ,0
 The quality of the materials is exceptional. ,1
 The cords are too short and don’t allow flexibility. ,0
 It’s versatile and works well in a variety of settings. ,1
 The instructions are detailed and easy to follow. ,1
 This is hands down the best product in its category. ,1
 The screws are loose making the product unstable. ,0
 It’s stylish reliable and very well designed. ,1
